"","Town","T21Date"
"1","Acton",2015-01-01 05:00:00
"2","Adams",2016-10-31 00:00:00
"3","Amherst",2015-08-15 00:00:00
"4","Andover",2015-02-01 00:00:00
"5","Arlington",2015-07-21 00:00:00
"6","Ashland",2015-01-01 00:00:00
"7","Attleboro",2016-01-01 00:00:00
"8","Belchertown",2017-01-01 00:00:00
"9","Belmont",2015-01-01 00:00:00
"10","Blackstone",2016-07-01 00:00:00
"11","Boston",2015-02-15 00:00:00
"12","Braintree",2014-10-01 00:00:00
"13","Brewster",2015-09-01 00:00:00
"14","Bridgewater",2015-01-01 00:00:00
"15","Brimfield",2014-09-01 00:00:00
"16","Brockton",2016-09-30 00:00:00
"17","Brookline",2015-06-01 00:00:00
"18","Buckland",2015-11-15 00:00:00
"19","Cambridge",2015-06-01 00:00:00
"20","Canton",2014-01-01 00:00:00
"21","Carver",2016-07-01 00:00:00
"22","Charlemont",2015-10-15 00:00:00
"23","Chelmsford",2016-01-04 00:00:00
"24","Chelsea",2016-03-15 00:00:00
"25","Cohasset",2016-06-01 00:00:00
"26","Concord",2014-11-01 00:00:00
"27","Danvers",2015-07-01 00:00:00
"28","Dedham",2014-01-01 00:00:00
"29","Deerfield",2017-01-01 00:00:00
"30","Dover",2014-01-18 00:00:00
"31","Duxbury",2015-02-01 00:00:00
"32","Eastham",2015-09-30 00:00:00
"33","Easton",2016-05-01 00:00:00
"34","Egremont",2016-09-19 00:00:00
"35","Essex",2016-08-01 00:00:00
"36","Falmouth",2016-05-23 00:00:00
"37","Foxborough",2014-08-01 00:00:00
"38","Framingham",2015-07-01 00:00:00
"39","Franklin",2016-07-01 00:00:00
"40","Gill",2015-09-01 00:00:00
"41","Gloucester",2016-06-01 00:00:00
"42","Grafton",2016-09-01 00:00:00
"43","Great Barrington",2016-09-01 00:00:00
"44","Greenfield",2015-07-01 00:00:00
"45","Hadley",2016-03-15 00:00:00
"46","Hamilton",2016-10-01 00:00:00
"47","Hanover",2016-01-01 00:00:00
"48","Halifax",2016-03-15 00:00:00
"49","Hatfield",2015-01-01 00:00:00
"50","Holbrook",2016-08-01 00:00:00
"51","Holyoke",2015-06-12 00:00:00
"52","Hopedale",2016-04-01 00:00:00
"53","Hudson",2014-07-01 00:00:00
"54","Hull",2015-01-01 00:00:00
"55","Kingston",2015-05-18 00:00:00
"56","Lanesborough",2018-03-09 00:00:00
"57","Lawrence",2015-03-01 00:00:00
"58","Lee",2016-01-02 00:00:00
"59","Lenox",2016-01-02 00:00:00
"60","Leverett",2015-03-01 00:00:00
"61","Lexington",2015-07-01 00:00:00
"62","Lincoln",2015-01-01 00:00:00
"63","Lowell",2016-10-01 00:00:00
"64","Malden",2015-07-01 00:00:00
"65","Mansfield",2016-01-01 00:00:00
"66","Marblehead",2016-07-01 00:00:00
"67","Marion",2016-03-16 00:00:00
"68","Marlborough",2015-09-01 00:00:00
"69","Marshfield",2015-09-01 00:00:00
"70","Mashpee",2016-07-01 00:00:00
"71","Maynard",2016-09-01 00:00:00
"72","Medfield",2016-01-01 00:00:00
"73","Medford",2016-09-27 00:00:00
"74","Medway",2014-08-25 00:00:00
"75","Melrose",2014-07-01 00:00:00
"76","Mendon",2015-08-01 00:00:00
"77","Methuen",2015-09-01 00:00:00
"78","Middleton",2016-10-01 00:00:00
"79","Millis",2015-11-01 00:00:00
"80","Milford",2016-04-01 00:00:00
"81","Milton",2015-01-01 00:00:00
"82","Montague",2015-07-01 00:00:00
"83","Natick",2015-09-01 00:00:00
"84","Needham",2005-04-01 00:00:00
"85","Newton",2014-07-01 00:00:00
"86","Norfolk",2016-06-01 00:00:00
"87","North Adams",2016-08-01 00:00:00
"88","North Andover",2015-09-01 00:00:00
"89","North Attleboro",2016-07-01 00:00:00
"90","North Reading",2016-09-01 00:00:00
"91","Northampton",2016-09-19 00:00:00
"92","Northborough",2015-07-01 00:00:00
"93","Norwell",2016-03-31 00:00:00
"94","Norwood",2014-07-01 00:00:00
"95","Orleans",2016-11-01 00:00:00
"96","Peabody",2016-01-01 00:00:00
"97","Pittsfield",2016-11-01 00:00:00
"98","Plainville",2016-06-01 00:00:00
"99","Provincetown",2016-03-01 00:00:00
"100","Reading",2014-07-01 00:00:00
"101","Randolph",2016-10-07 00:00:00
"102","Rockport",2016-09-22 00:00:00
"103","Salem",2015-01-01 00:00:00
"104","Saugus",2015-01-01 00:00:00
"105","Scituate",2014-05-01 00:00:00
"106","Sharon",2013-05-19 00:00:00
"107","Shelburne",2015-11-15 00:00:00
"108","Sherborn",2014-06-01 00:00:00
"109","Somerville",2016-03-15 00:00:00
"110","South Hadley",2015-04-01 00:00:00
"111","Southampton",2016-03-01 00:00:00
"112","Southborough",2015-07-01 00:00:00
"113","Southwick",2016-05-07 00:00:00
"114","Stockbridge",2016-01-02 00:00:00
"115","Stoneham",2014-06-01 00:00:00
"116","Stoughton",2016-07-09 00:00:00
"117","Sunderland",2016-01-04 00:00:00
"118","Swampscott",2016-06-01 00:00:00
"119","Tewksbury",2016-06-01 00:00:00
"120","Topsfield",2016-09-23 00:00:00
"121","Townsend",2016-09-01 00:00:00
"122","Tyngsborough",2016-11-01 00:00:00
"123","Wakefield",2014-07-01 00:00:00
"124","Walpole",2015-07-01 00:00:00
"125","Waltham",2015-03-01 00:00:00
"126","Wareham",2016-04-01 00:00:00
"127","Watertown",2016-03-01 00:00:00
"128","Wayland",2015-01-01 00:00:00
"129","Wellesley",2014-06-01 00:00:00
"130","Westfield",2016-01-01 00:00:00
"131","Westford",2014-04-01 00:00:00
"132","Weston",2016-04-30 00:00:00
"133","Westwood",2014-09-01 00:00:00
"134","Whately",NA
"135","Whitman",NA
"136","Williamstown",NA
"137","Wilmington",NA
"138","Winchester",NA
"139","Worcester",NA
"140","Yarmouth",NA
